id,day,month,price
80410,weekday,12,115.0
80410,weekend,1,95.0
80410,weekend,2,115.0
80410,weekend,3,115.0
80410,weekend,4,115.0
80410,weekend,5,115.0
80410,weekend,6,108.33333333333333
80410,weekend,7,115.0
80410,weekend,8,115.0
80410,weekend,9,115.0
80410,weekend,10,115.0
80410,weekend,11,115.0
80410,weekend,12,115.0
125579,weekday,1,188.8695652173913
125579,weekday,2,154.4
125579,weekday,3,203.28571428571428
125579,weekday,4,208.5
125579,weekday,5,229.4090909090909
125579,weekday,6,380.7142857142857
125579,weekday,7,253.82608695652175
125579,weekday,8,208.9047619047619
125579,weekday,9,209.0
125579,weekday,10,209.0
125579,weekday,11,209.0
125579,weekday,12,209.0
125579,weekend,1,176.875
125579,weekend,2,159.5
125579,weekend,3,236.0
125579,weekend,4,223.75
125579,weekend,5,243.44444444444446
125579,weekend,6,380.44444444444446
125579,weekend,7,217.75
125579,weekend,8,216.6
125579,weekend,9,217.0
125579,weekend,10,217.0
125579,weekend,11,217.0
125579,weekend,12,217.0
136015,weekday,1,96.0
136015,weekday,2,96.0
136015,weekday,3,96.0
136015,weekday,4,96.0
136015,weekday,5,96.0
136015,weekday,6,96.0
136015,weekday,7,96.0
136015,weekday,8,96.0
136015,weekday,9,96.0
136015,weekday,10,96.0
136015,weekday,11,96.0
136015,weekday,12,96.0
136015,weekend,1,120.0
136015,weekend,2,120.0
136015,weekend,3,120.0
136015,weekend,4,120.0
136015,weekend,5,120.0
136015,weekend,6,120.0
136015,weekend,7,120.0
136015,weekend,8,120.0
136015,weekend,9,120.0
136015,weekend,10,120.0
136015,weekend,11,120.0
136015,weekend,12,120.0
258817,weekday,1,35.0
258817,weekday,2,35.0
258817,weekday,3,35.0
258817,weekday,4,35.0
258817,weekday,5,35.0
258817,weekday,6,35.0
258817,weekday,7,35.0
258817,weekday,8,35.0
258817,weekday,9,35.0
258817,weekday,10,35.0
258817,weekday,11,35.0
258817,weekday,12,35.0
258817,weekend,1,35.0
258817,weekend,2,35.0
258817,weekend,3,35.0
258817,weekend,4,35.0
258817,weekend,5,35.0
258817,weekend,6,35.0
258817,weekend,7,35.0
258817,weekend,8,35.0
258817,weekend,9,35.0
258817,weekend,10,35.0
258817,weekend,11,35.0
258817,weekend,12,35.0
280842,weekday,1,135.0
280842,weekday,2,135.0
280842,weekday,3,135.0
280842,weekday,4,135.0
280842,weekday,5,136.36363636363637
280842,weekday,6,135.0
280842,weekday,7,135.0
280842,weekday,8,135.0
280842,weekday,9,135.0
280842,weekday,10,135.0
280842,weekday,11,135.0
280842,weekday,12,135.0
280842,weekend,1,165.0
280842,weekend,2,165.0
280842,weekend,3,165.0
280842,weekend,4,165.0
280842,weekend,5,165.0
280842,weekend,6,165.0
280842,weekend,7,165.0
280842,weekend,8,165.0
280842,weekend,9,165.0
280842,weekend,10,165.0
280842,weekend,11,165.0
280842,weekend,12,165.0
289242,weekday,1,29.0
289242,weekday,2,29.0
289242,weekday,3,29.0
289242,weekday,4,29.0
289242,weekday,5,29.0
289242,weekday,6,29.0
289242,weekday,7,29.0
289242,weekday,8,29.0
289242,weekday,9,29.0
289242,weekday,10,29.0
289242,weekday,11,29.0
289242,weekday,12,29.0
289242,weekend,1,29.0
289242,weekend,2,29.0
289242,weekend,3,29.0
289242,weekend,4,29.0
289242,weekend,5,29.0
289242,weekend,6,29.0
289242,weekend,7,29.0
289242,weekend,8,29.0
289242,weekend,9,29.0
289242,weekend,10,29.0
289242,weekend,11,29.0
289242,weekend,12,29.0
319705,weekday,1,35.0
319705,weekday,2,35.0
319705,weekday,3,35.0
319705,weekday,4,35.0
319705,weekday,5,35.0
319705,weekday,6,35.0
319705,weekday,7,35.0
319705,weekday,8,35.0
319705,weekday,9,35.0
319705,weekday,10,35.0
319705,weekday,11,35.0
319705,weekday,12,35.0
319705,weekend,1,35.0
319705,weekend,2,35.0
319705,weekend,3,35.0
319705,weekend,4,35.0
319705,weekend,5,35.0
319705,weekend,6,35.0
