id,last_scraped,host_since,host_listings_count,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,bed_type,price,security_deposit,cleaning_fee,review_scores_rating,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,has_availability,is_review,days_host
31442394,2019-01-17,2016-10-26,82,t,f,District 18,36.13546529283259,-86.78950285492145,Entire home/apt,Townhouse,10,3.5,3,Real Bed,999.0,299.0,125.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,strict_14_with_grace_period,f,f,t,False,813
31448947,2019-01-17,2016-07-22,98,t,f,District 35,36.0999556373931,-87.02339927654505,Entire home/apt,House,10,3.0,3,Real Bed,107.0,400.0,200.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,909
31449535,2019-01-17,2017-03-19,4,f,t,District 21,36.144608935597184,-86.8212822888295,Entire home/apt,Condominium,8,2.0,2,Real Bed,175.0,0.0,135.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,669
31449541,2019-01-17,2017-03-19,4,f,t,District 21,36.14367605734566,-86.81917097347389,Entire home/apt,Condominium,8,2.0,2,Real Bed,175.0,0.0,135.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,669
31449543,2019-01-17,2017-03-19,4,f,t,District 21,36.14391896750785,-86.81951173427271,Entire home/apt,Condominium,8,2.0,2,Real Bed,175.0,0.0,135.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,669
31449544,2019-01-17,2017-03-19,4,f,t,District 21,36.14306158648166,-86.82127585585756,Entire home/apt,Condominium,8,2.0,2,Real Bed,175.0,0.0,135.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,669
31461326,2019-01-17,2014-07-15,1,f,t,District 13,36.10941384079744,-86.70678192811724,Entire home/apt,House,10,3.0,4,Real Bed,374.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,1647
31461750,2019-01-17,2018-05-13,1,f,f,District 17,36.124402897216314,-86.77871103341158,Entire home/apt,Condominium,3,1.0,1,Real Bed,54.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,249
31468884,2019-01-17,2018-10-24,1,f,f,District 5,36.178047133350866,-86.75642465087765,Entire home/apt,House,10,1.0,3,Real Bed,125.0,0.0,135.0,0.0,0,0.0,0.0,0.0,0.0,0.0,f,f,strict_14_with_grace_period,f,f,t,False,85
31471683,2019-01-17,2016-09-12,2,t,t,District 5,36.19137109555101,-86.75556202022877,Entire home/apt,House,6,1.0,2,Real Bed,88.0,200.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,f,f,flexible,f,f,t,False,857
31472777,2019-01-17,2018-03-11,1,f,f,District 7,36.198097196539784,-86.73597746888626,Entire home/apt,House,4,2.0,2,Real Bed,225.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,312
31474379,2019-01-17,2019-01-10,1,f,f,District 19,36.14592761529579,-86.7946583270903,Entire home/apt,Condominium,3,1.0,1,Real Bed,88.0,0.0,0.0,100.0,3,10.0,10.0,10.0,10.0,10.0,t,f,flexible,f,f,t,True,7
31490152,2019-01-17,2018-10-02,3,f,f,District 28,36.058240005663826,-86.66404335436575,Entire home/apt,Tiny house,4,1.0,1,Real Bed,115.0,100.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,107
31491106,2019-01-17,2015-11-30,1,f,t,District 19,36.156161582699546,-86.77473750365839,Entire home/apt,Apartment,5,1.0,1,Real Bed,102.0,0.0,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,1144
